"accession","length","genome_region","host","country","isolation","collection_date","release_date","name"
"KT357803","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_688/KSA/2014 spike protein gene, complete cds"
"KT357804","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1147/KSA/2014 spike protein gene, complete cds"
"KT357805","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate HafrAlBatin_696/KSA/2014 spike protein gene, complete cds"
"KT357806","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1158/KSA/2014 spike protein gene, complete cds"
"KT357807","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1162/KSA/2014 spike protein gene, complete cds"
"KT357808","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1164/KSA/2014 spike protein gene, complete cds"
"KT357809","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1172/KSA/2014 spike protein gene, complete cds"
"KT357810","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1175/KSA/2014 spike protein gene, complete cds"
"KT357811","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1337/KSA/2014 spike protein gene, complete cds"
"KT357812","4062","S","Homo sapiens","Saudi Arabia","","2014","2016/04/12","Middle East respiratory syndrome coronavirus isolate Riyadh_1340/KSA/2014 spike protein gene, complete cds"
"KY673146","4062","S","Homo sapiens","United Arab Emirates","lung,oronasopharynx","2013/07/12","2017/12/20","Middle East respiratory syndrome-related coronavirus strain Hu/UAE_003_2013 S protein (S) gene, complete cds"
"KY673147","4062","S","Homo sapiens","United Arab Emirates","lung,oronasopharynx","2014/04/25","2017/12/20","Middle East respiratory syndrome-related coronavirus strain Hu/UAE_045_2014 S protein (S) gene, complete cds"
"KY688114","4062","S","Homo sapiens","Oman","oronasopharynx","2015/01/16","2017/12/31","Middle East respiratory syndrome-related coronavirus strain Hu/Oman_261_2015 spike glycoprotein (S) gene, complete cds"
"MH978886","4062","S","Homo sapiens","South Korea","lung,oronasopharynx","2018/09/08","2019/02/26","Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/KOR/KCDC/001_2018-SP spike protein (S) gene, complete cds"
"MH978887","4062","S","Homo sapiens","South Korea","oronasopharynx","2018/09/08","2019/02/26","Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/KOR/KCDC/001_2018-TS spike protein (S) gene, complete cds"
"MH978888","4062","S","Homo sapiens","South Korea","oronasopharynx","2018/09/12","2019/02/26","Middle East respiratory syndrome-related coronavirus isolate MERS-CoV/KOR/KCDC/001_2018-TSVi spike protein (S) gene, complete cds"
"MK462257","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2018/06/01","2019/03/02","Middle East respiratory syndrome-related coronavirus strain Hu/Najran-KSA-18011240/2018 spike protein (S) gene, complete cds"
"MK462258","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2018/07/24","2019/03/02","Middle East respiratory syndrome-related coronavirus strain Hu/Qaseem-KSA-18012872/2018 spike protein (S) gene, complete cds"
"MK858156","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2016/10/17","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 19 spike glycoprotein gene, complete cds"
"MK858157","4062","S","Homo sapiens","Saudi Arabia","lung,oronasopharynx","2016/11/17","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 24 spike glycoprotein gene, complete cds"
"MK858158","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2016/11/28","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 26 spike glycoprotein gene, complete cds"
"MK858159","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2016/12/19","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 30 spike glycoprotein gene, complete cds"
"MK858160","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2017/05/31","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 37 spike glycoprotein gene, complete cds"
"MK858161","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2017/06/03","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 40 spike glycoprotein gene, complete cds"
"MK858162","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2017/06/03","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 41 spike glycoprotein gene, complete cds"
"MK858163","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2017/06/03","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 42 spike glycoprotein gene, complete cds"
"MK858164","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2017/06/05","2019/05/20","Middle East respiratory syndrome-related coronavirus isolate 44 spike glycoprotein gene, complete cds"
"MN403102","4062","S","Homo sapiens","Saudi Arabia","","2019/03","2019/10/01","Middle East respiratory syndrome-related coronavirus isolate 1390-Hu-Jed spike protein (S) gene, complete cds"
"MN735679","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2015/09/28","2019/12/18","Middle East respiratory syndrome-related coronavirus isolate 03 spike glycoprotein (S) gene, complete cds"
"MN735680","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2016/05/03","2019/12/18","Middle East respiratory syndrome-related coronavirus isolate 14 spike glycoprotein (S) gene, complete cds"
"MN735681","4062","S","Homo sapiens","Saudi Arabia","lung","2017/06/23","2019/12/18","Middle East respiratory syndrome-related coronavirus isolate 81 spike glycoprotein (S) gene, complete cds"
"MN735682","4062","S","Homo sapiens","Saudi Arabia","oronasopharynx","2017/11/16","2019/12/18","Middle East respiratory syndrome-related coronavirus isolate 109 spike glycoprotein (S) gene, complete cds"
